Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount,ObjectId
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1746,EI - Civilian,0,11
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1750,Ontario Health Tax,17387800,12
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1764,CPP - Uniform,0,13
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1765,CPP - Civilian,0,14
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1776,OMERS - Civilian,0,15
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1970,WSIB - Medical / dental,9203200,16
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Benefits,1975,WSIB - Administration costs,7192800,17
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3099,General equipment,2113800,18
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3410,Computers - hardware,0,19
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3420,Computers - software,25300,20
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3620,Telephone equipment,0,21
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3974,Radio units,0,22
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3976,Fax machines,0,23
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3979,Small equipment,0,24
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3980,Cameras and lenses,0,25
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3982,Video production equipment,0,26
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3985,Motor vehicles,0,27
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3986,Vehicle preparation,641600,28
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3989,Marine equipment,43000,29
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3991,Accommodation equipment,75000,30
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3992,Printers,75000,31
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Equipment,3993,Firearms,346200,32
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2010,Stationery and office supplies,65700,33
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2020,Books & Magazines,0,34
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2080,Photo / Video supplies,32000,35
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2082,Health & Safety supplies,175000,36
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2084,Ammunition/Firearms supplies,1275400,37
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2086,Traffic enforcement supplies,86100,38
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2135,Parts - tires/tubes,475000,39
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2181,Parts - vehicles,2144200,40
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2182,Parts - bicycles,104100,41
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2199,Parts - miscellaneous,100000,42
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2260,Gasoline,8568600,43
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2326,Inventory adjustments,0,44
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2665,Protecting clothing,0,45
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2670,Uniforms,3899900,46
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Materials & Supplies,2999,Miscellaneous materials,98900,47
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Premium Pay,1571,Court premium pay - Uniform,-500000,48
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Premium Pay,1572,Overtime premium pay - Uniform,-1000000,49
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Centralized Service Charges,Centralized Service Charges,Premium Pay,1573,Callback premium pay - Uniform,-1000000,50
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1517,School Crossing Guards,0,51
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1518,Regular salaries - Civilian E (monitors/translators),0,52
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1519,Regular salaries - Civilian D (part-time court officers),0,53
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1533,Alternate rate - Uniform,0,54
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1534,Alternate rate - Civilian A,0,55
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1536,Alternate rate - Civilian C,0,56
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1541,Statutory Holiday - Uniform,0,57
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1544,Statutory Holiday - Civilian C,0,58
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1545,Statutory Holiday - Other,0,59
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1546,Stand-By Pay - Civilian A,0,60
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1547,Stand-By Pay - Civilian B,0,61
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1551,Shift Bonus - Uniform,0,62
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1552,Shift Bonus - Civilian A,0,63
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1553,Shift Bonus - Civilian B,0,64
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1554,Shift Bonus - Civilian C,0,65
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1556,Shift Bonus - Other,0,66
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1563,Maternal/Parental top up - Uniform,1691500,67
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Salaries,1564,Maternal/Parental top up - Civilian,910800,68
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Services,4312,Courses / seminars,0,69
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Services,4341,Clothing reimbursement,0,70
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Centralized Service Chrgs & UNS (Pillar),Unit Not Assigned,Unit Not Assigned,Services,4342,Tool reimbursement,0,71
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),G20 Hearings (Pillar),G20 Hearings,G20 Hearings,Revenues,9042,Revenues - other,0,72
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),G20 Hearings (Pillar),G20 Hearings,G20 Hearings,Services,4010,Professional / technical services - legal,0,73
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),G20 Hearings (Pillar),G20 Hearings,G20 Hearings,Services,4970,Services & rents - general,0,74
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,FIFA World Cup 2026,Equipment,3410,Computers - hardware,0,75
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,FIFA World Cup 2026,Materials & Supplies,2999,Miscellaneous materials,0,76
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,FIFA World Cup 2026,Services,4230,Business travel - other expenses,0,77
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,FIFA World Cup 2026,Services,4804,Wireless devices,0,78
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Illegal Cannabis Dispensary Closure,Equipment,3099,General equipment,0,79
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Illegal Cannabis Dispensary Closure,Premium Pay,1572,Overtime premium pay - Uniform,0,80
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Illegal Cannabis Dispensary Closure,Premium Pay,1573,Callback premium pay - Uniform,0,81
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Illegal Cannabis Dispensary Closure,Premium Pay,1574,Lieutime premium pay - Uniform,0,82
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Illegal Cannabis Dispensary Closure,Revenues,8044,Grants - other government,0,83
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Illegal Cannabis Dispensary Closure,Services,4860,Hazardous waste removal,0,84
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Benefits,1744,EI - Uniform,0,85
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Benefits,1746,EI - Civilian,0,86
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Benefits,1764,CPP - Uniform,0,87
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Benefits,1765,CPP - Civilian,0,88
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Benefits,1773,OMERS - Uniform,0,89
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Benefits,1776,OMERS - Civilian,0,90
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Premium Pay,1573,Callback premium pay - Uniform,0,91
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Premium Pay,1583,Callback premium pay - Civilian,0,92
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Revenues,8554,Joint Forces' Operations,0,93
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Revenues,9030,Miscellaneous revenues,0,94
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Salaries,1502,Regular salaries - Civilian Sr. Officer,0,95
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Salaries,1503,Regular salaries - Uniform Sr. Officer,0,96
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Salaries,1504,Regular salaries - Uniform,0,97
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Salaries,1505,Regular salaries - Civilian A,0,98
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Services,4441,Contracted services - Cable TV,0,99
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),One-time Projects (Pillar),One-time Projects,Pan Am Games,Services,4811,Wireless services,0,100
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Benefits,1719,Health care benefits - retiree,2683400,101
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Benefits,1722,Long-term Disability - Sr. Officer,0,102
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Benefits,1748,EI - Non-qualified,0,103
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Benefits,1767,CPP - Non-qualified,0,104
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Benefits,1960,Sick Pay Credit Grant,17030300,105
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Equipment,3310,Furnishings,0,106
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Revenues,9260,Draws from Reserve Funds,-25413700,107
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Revenues,9270,Draws from Reserves,-7652300,108
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Salaries,1514,Temporary - short-term,0,109
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Salaries,1522,New Initiative costs,0,110
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,4010,Professional / technical services - legal,540000,111
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,4011,Legal indemnification/inquests,2430300,112
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,4013,Bargaining expenses,150000,113
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,4089,Consulting - Management/R&D,0,114
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,4091,Consulting - External lawyers / planners,32000,115
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,4093,Consulting - Creative communication,0,116
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,4424,Contracted Services - general,4000000,117
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,4970,Services & rents - general,0,118
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,6020,Contribution to Reserve - general,930000,119
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,6021,Contribution to Reserve - Vehicle and Equipment,20766000,120
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,6030,Contribution to Reserve Funds - general,2016700,121
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,6031,Contribution to Reserve Fund - Insurance,0,122
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Reserves Group (Pillar),Reserves Group,Reserves Group,Services,6032,Contribution to Reserve Funds - sick leave,12282600,123
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Summits (Pillar),Summits,G7 Summit,Revenues,8554,Joint Forces' Operations,0,124
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Summits (Pillar),Summits,G7 Summit,Services,4210,Business travel - accommodation,0,125
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Summits (Pillar),Summits,G7 Summit,Services,4316,Special Events expenses,0,126
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Summits (Pillar),Summits,G7 Summit,Services,4510,Rental - vehicles,0,127
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Equipment,3099,General equipment,0,128
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Materials & Supplies,2013,Printed material,5000,129
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Materials & Supplies,2082,Health & Safety supplies,0,130
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Materials & Supplies,2084,Ammunition/Firearms supplies,0,131
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Materials & Supplies,2183,Parts - communication,0,132
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Materials & Supplies,2670,Uniforms,0,133
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Services,4084,Public relations / promotions,0,134
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Services,4089,Consulting - Management/R&D,0,135
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Services,4093,Consulting - Creative communication,0,136
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Services,4414,Advertising and promotions,0,137
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Services,4424,Contracted Services - general,0,138
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational Task Force,Services,4970,Services & rents - general,0,139
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational TF Recommendations,Equipment,3420,Computers - software,0,140
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational TF Recommendations,Materials & Supplies,2999,Miscellaneous materials,0,141
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational TF Recommendations,Services,4089,Consulting - Management/R&D,0,142
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational TF Recommendations,Services,4424,Contracted Services - general,0,143
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational TF Recommendations,Services,4659,Maintenance - computer,0,144
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational TF Recommendations,Services,4810,Telephone,0,145
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational TF Recommendations,Services,4811,Wireless services,0,146
2022,Approved Budget,1 - Toronto Police Service,Centralized Service Charges (Command),Transformational Task Force (Pillar),Transformational Task Force,Transformational TF Recommendations,Services,4970,Services & rents - general,0,147
2022,Approved Budget,1 - Toronto Police Service,Chief of Police (Command),"Centralized Command Charges,CHF (Pillar)","Centralized Command Charges,CHF","Centralized Command Charges, CHF",Premium Pay,1574,Lieutime premium pay - Uniform,54500,148
